from_user,user_lang,from_user_id_str,profile_image_url,user_followers_count,user_friends_count,user_location
pablolabajos_ma,es,849267837051043841,http://pbs.twimg.com/profile_images/849553852303015941/39H3ux9j_normal.jpg,116,158,-
FundacionCepaim,es,959953956,http://pbs.twimg.com/profile_images/1103954122171207680/yzxj-m1Z_normal.png,6535,1110,España
ox_ibarra,es,64564669,http://pbs.twimg.com/profile_images/875723053140979713/vBuyAXvw_normal.jpg,167,344,"Santiago, Chile"
CorrupticidioRD,es,759505398,http://pbs.twimg.com/profile_images/559484676092354560/6RaOuaUm_normal.jpeg,5957,6538,#Liberalismo #LibreMercado #Antiestatalismo #Antipopulismo #Cuasianarquismo #Anticentralismo
mariposasflores,es,2644352315,http://pbs.twimg.com/profile_images/568781926241427456/NmwBTTQb_normal.jpeg,2053,3656,-
CerveceraCAN,es,2414190392,http://pbs.twimg.com/profile_images/913730992870969344/FFtiok7a_normal.jpg,1618,314,Canarias
sofiprados,es,785204691303075840,http://pbs.twimg.com/profile_images/785224411070734338/cT7i0LF1_normal.jpg,52,24,"Madrid, Comunidad de Madrid"
_iplusf,es,245871871,http://pbs.twimg.com/profile_images/798863721623851008/ZQS4lyJg_normal.jpg,137,436,Madrid
marcosgonzalezm,es,229802863,http://pbs.twimg.com/profile_images/793391375895130112/8HU5-A08_normal.jpg,13967,1752,Iberoamérica
Eigualia,es,800318092446298112,http://pbs.twimg.com/profile_images/1060470022479495168/F7Ub4e1H_normal.jpg,141,321,-
atlanticomedio,es,718541621822930944,http://pbs.twimg.com/profile_images/1064521260523286528/nhDJ1o24_normal.jpg,330,188,"Las Palmas de Gran Canaria, España"
OTGuadalupe,es,1550470405,http://pbs.twimg.com/profile_images/974609819020791809/XJRZSn7C_normal.jpg,1240,629,"Guadalupe, Extremadura, Spain"
RespSolidarias,es,185548282,http://pbs.twimg.com/profile_images/562230998331424769/QIZuZ1gi_normal.jpeg,454,1251,España
CIO_COMPANY,es,539837242,http://pbs.twimg.com/profile_images/3530027393/f2ae46a989744fc830a5bd137451bbf1_normal.jpeg,2456,1548,Santa Cruz de Tenerife
labvinas,es,3598948162,http://pbs.twimg.com/profile_images/728584857182441472/DUHB0zJP_normal.jpg,2065,1228,"Barcelona, España"
vinuales81,es,189663569,http://pbs.twimg.com/profile_images/1194188116/Victor_Vinuales1_normal.jpg,7778,5597,-
fhortasud,es,1003905350,http://pbs.twimg.com/profile_images/1021727364299071488/4Woa2kDg_normal.jpg,1040,222,Horta Sud (València)
FUNDHEX,es,274478278,http://pbs.twimg.com/profile_images/1098547688990261248/NRwXu0wQ_normal.jpg,931,1458,"Extremadura, España"
titarules,es,2250078029,http://pbs.twimg.com/profile_images/927338516245344256/rI3wyGED_normal.jpg,1105,1695,-
tarressolar,es,2889071302,http://pbs.twimg.com/profile_images/536473992169656320/ATzD7eW-_normal.jpeg,851,157,"Pineda de Mar, España"
GRogadoMaria,es,2516844423,http://pbs.twimg.com/profile_images/796317637617811460/WHKpkAP__normal.jpg,161,184,-
LViguria,en,1636938043,http://pbs.twimg.com/profile_images/378800000551631435/515d23a9c92ae88eceb98a5661ba83c4_normal.jpeg,138,15,-
guerrajaime,es,271608379,http://pbs.twimg.com/profile_images/939843001139978240/-GHWDH9h_normal.jpg,1201,159,"Saltillo, Coahuila de Zaragoza"
Rafa_Maestro,es,909819770,http://pbs.twimg.com/profile_images/910922596887220224/jiDO99ps_normal.jpg,1884,1826,Murcia
raquelea,es,39507231,http://pbs.twimg.com/profile_images/1080971576101679110/54tymbyg_normal.jpg,1222,1084,Madrid
FundacionBeQual,es,978595778,http://pbs.twimg.com/profile_images/2911126159/e19c9b202a6316e8589ba10140bd7d65_normal.png,2688,910,Madrid
J_Alberto_Lopez,en,387150632,http://pbs.twimg.com/profile_images/903914563845971969/ztwtoWeH_normal.jpg,326,341,-
WisarTR,en,821148391262535680,http://pbs.twimg.com/profile_images/1131123075720859649/k0SOUj7n_normal.png,555,1266,"Sant Cugat del Vallès, Spain"
AyllonLoli,es,727384747266179072,http://pbs.twimg.com/profile_images/997464153999589378/US8W0N9x_normal.jpg,62,155,-
SsuperLe,es,281477060,http://pbs.twimg.com/profile_images/1098948443442163712/3jAxijBL_normal.png,400,666,-
informaria,es,316480171,http://pbs.twimg.com/profile_images/921345893986643969/_hdqcQZg_normal.jpg,1688,738,Sevilla
Agenda_Empresa,es,800259944,http://pbs.twimg.com/profile_images/921345666772799489/DattJ65l_normal.jpg,2450,753,Sevilla-Andalucía-España
