from_user,user_followers_count,user_friends_count,retweet,tweet
INACpanama,31656,1011,True,False
Caronela1,13,216,True,False
Paula_REDTISA,523,1018,True,False
suusiitaa,744,1272,True,False
RoblesMedinaa,4,45,True,False
santiagopinzong,5429,2757,False,True
blancagomezint,157,339,True,False
SergioLealVinte,15264,405,True,False
MariaRosa_AF,185,1449,True,False
Cristia73486910,96,841,True,False
contrerassangie,33,302,True,False
MLMenendez,1000,1067,True,False
VINTEMX,2452,551,False,True
VHLEZCANO,186,250,True,False
pactoglobalARG,5046,2295,False,True
luisrgonzal23,210,597,True,False
echile_colombia,969,275,True,False
lina_tami,517,824,True,False
Leticiaestevez,1829,890,True,False
AnnieAlessandra,236,540,True,False
victor1_flores,505,1198,True,False
EmbaChileEspana,326,457,True,False
KattiOsorio,685,1226,False,True
ddu_10,1922,1058,False,True
PRDesPanama,14895,414,True,False
ciudades_demx,870,372,True,False
Bruno_m9,1634,2150,True,False
star__gz,935,207,True,False
krinavila,211,207,True,False
ndequeiros,1065,364,True,False
lukaquelo,520,691,True,False
ODSTerritorioEc,990,258,False,True
icynthia,2088,989,False,True
SaskyaLugo,240,572,True,False
lucianamermet,1327,1402,False,True
prensa_igualdad,258,140,True,False
Igualdad_SF,2624,233,True,False
lukaquelo,520,691,True,False
KLAUSGERMANPH,1453,1574,True,False
Veritasmartino,548,1219,True,False
Maria_Paly,21,178,True,False
KLAUSGERMANPH,1453,1574,True,False
Laboratoriorg,178,522,False,True
Blancavh,676,1067,True,False
JuanGlz13,1713,343,True,False
Vi_Simon,1267,2281,True,False
PNUDEcuador,9327,1431,False,True
EllyanneCGithae,2553,2546,True,False
DabelLeandro,584,299,True,False
UNOPS_es,11706,846,False,True
gelequido,49,59,True,False
joazcurrain,1214,593,False,True
Corresponsables,29075,177,False,True
FaCNano,177,1001,True,False
marycistica,293,524,True,False
GeneroMejia,480,474,True,False
RSCentro,2779,1159,True,False
Mikaelafac,116,360,True,False
ljmaguire,565,334,True,False
anarela_s,164,506,True,False
aprofexminrel,488,218,True,False
markova25,2079,2353,True,False
Radamesenrique,146,380,True,False
iconoclasta_mx,1679,1602,True,False
PaulinaFrean,18,246,False,True
ACCIONPLANETA,2826,4719,True,False
PNUDPanama,8517,1120,False,True
cncuvenezuelau1,144,78,True,False
vbuendia60,113,79,True,False
felix_paladines,267,72,True,False
SmartCity_Net,7574,886,True,False
TelefonicaEC,4527,931,False,True
abelaro0806,125,51,True,False
AgriculturaIMB,1426,128,True,False
PauRuggeri,1595,2940,True,False
PNUDPanama,8516,1120,False,True
SteveRamirez07,1043,2825,True,False
aceballospdc,1863,5000,True,False
dcentristas,107,1351,True,False
CarlosATejedaG,1058,1852,True,False
fgarciam,2500,1277,True,False
OnmpriL,11,60,True,False
ConsejoNL,1868,90,True,False
GaboDiaz,515,687,True,False
avvelasquez,1979,1668,True,False
SSDPedomex,1466,238,False,True
Gustavo83492076,36,25,True,False
karmmenkar,132,253,True,False
Corresponsables,29076,177,False,True
TanTatus,95,261,False,True
Agenda2030MX,6010,2672,False,True
utpl,49341,1227,False,True
ObservacomU,110,31,True,False
taniarocio411,185,927,True,False
MagdaRaudales,89,91,True,False
AlfonsoDavid_El,135,205,True,False
AlfonsoDavid_El,135,205,True,False
AlfonsoDavid_El,135,205,True,False
sccifuentes,127,228,True,False
utpl,49341,1227,False,True
InvestigaUtpl,1887,609,False,True
Corresponsables,29076,177,False,True
utpl,49342,1227,True,False
Carloscuadro9,69,754,True,False
richardnovoa22,102,140,True,False
ObservacomU,110,31,True,False
seduardo31,165,101,True,False
FAOEcuador,7444,1159,False,True
JorgeMenaC,106,201,True,False
sylvianeresoff,226,346,True,False
LDapresa,302,1058,False,True
MisionChileFAO,124,193,True,False
jhonfrodriguezc,776,761,True,False
jhonfrodriguezc,776,761,True,False
jhonfrodriguezc,776,761,True,False
jhonfrodriguezc,776,761,True,False
Corresponsables,29076,177,False,True
PISCITUS,110,500,True,False
pi1068,364,600,True,False
EcoAndinosCO,842,323,True,False
Mariangelrs82,364,523,True,False
GraciaTacubaya,395,308,True,False
yeloskay,655,985,True,False
gasparvaldez6,156,303,True,False
Carlabacigalupo,8254,1206,True,False
InvestigaUtpl,1887,609,True,False
hiperterminal,5917,6434,True,False
Parlasur_Mnes,1628,2038,True,False
MarysolBustama1,19,74,True,False
AE_Sustentable,307,843,True,False
josecruzurbieta,136,410,False,True
ComUTPL,203,192,True,False
sonegares,55,161,True,False
sonegares,55,161,True,False
ObservacomU,110,31,False,True
AnaCarretero37,597,484,True,False
ARQ_ALFRE,471,999,True,False
AE_Sustentable,307,843,True,False
AE_Sustentable,307,843,True,False
josecruzurbieta,136,410,False,True
Corresponsables,29076,177,False,True
arnaumariajose,199,771,True,False
josecruzurbieta,136,410,False,True
ComUTPL,203,191,True,False
arnaumariajose,199,771,True,False
InvestigaUtpl,1886,609,True,False
Angel_Monton,3643,3474,True,False
ObservacomU,110,31,False,True
robertotello11,1112,1547,True,False
tala2610,180,347,True,False
arnaumariajose,199,771,True,False
arnaumariajose,199,771,True,False
pochonavaro,3576,5000,False,True
arnaumariajose,199,771,True,False
AE_Sustentable,307,840,True,False
josecruzurbieta,136,410,False,True
odi_atakofeno,741,821,True,False
InvestigaUtpl,1886,609,True,False
InvestigaUtpl,1886,609,True,False
mpgalazc,141,196,True,False
ObservacomU,110,31,False,True
julian_dangelo,3329,1196,True,False
reverdeconcausa,1633,644,True,False
CiesNepyru,97,319,False,True
ObservacomU,110,31,False,True
JamesPScriven,2115,308,True,False
ValentinaEtu,36317,39958,False,True
UgtSedeTragsa,1460,2224,True,False
pilarcabrera67,3884,4148,True,False
InvestigaUtpl,1886,609,True,False
jsnydelaar,450,397,True,False
ArgenisAngulo,3653,2838,False,True
davidalba21,997,2637,True,False
davidalba21,997,2637,True,False
afb_88,445,206,True,False
dafnu,2428,1915,False,True
MarianoSoto1972,2105,741,True,False
meretecol,1083,3738,True,False
rubenborrega,143,362,True,False
iroser_RSE,7324,7960,True,False
juanrvd96,282,348,True,False
SEDESOH_GobOax,11224,372,False,True
Mardues21,233,200,True,False
FeliuMadaula,121,39,True,False
silvipappalardo,185,290,True,False
FondoChile,1873,50,True,False
cinemoviltoto,1355,1556,False,True
H_boliche,776,1923,True,False
jhonfrodriguezc,774,761,True,False
jhonfrodriguezc,774,761,True,False
arielruiz_diaz,717,2281,True,False
jhonfrodriguezc,774,761,True,False
jhonfrodriguezc,774,761,True,False
RubenRo56765219,8,48,True,False
jhonfrodriguezc,774,761,True,False
AnitaRucci,767,724,True,False
jgarciadv1,1169,1162,True,False
ObservacomU,110,31,False,True
SMonleon,217,146,True,False
EAsempervirens,2267,1913,True,False
AlbaaaMY,102,84,True,False
TrinessSD,191,315,False,True
EscuSostenible,95,804,True,False
caixapopular,2951,602,True,False
Corresponsables,29077,177,False,True
InvestigaUtpl,1886,609,True,False
ObservacomU,109,31,False,True
JASanahuja,2789,1006,True,False
gpereze,749,895,True,False
DisruptivoTV,25077,14002,False,True
Minrel_Chile,67018,3010,False,True
megajuanjopy,290,740,True,False
cristina_enea,3345,840,True,False
Oficoop,36,68,True,False
apt_americas,1034,1583,False,True
monilkita,1,79,True,False
BibianaGa113,3,57,True,False
anelga1234,3,71,True,False
mireyya1212,9,121,True,False
ricardonauto,231,292,True,False
AlCaceresMon,518,1398,True,False
CqM15,66,238,True,False
IgnacioIriarte,14215,3016,True,False
ONUChile,17000,420,True,False
JonAyllon,170,437,True,False
rivarolamabelu,273,1058,True,False
VolyEstrategia,945,495,True,False
mriost,14381,2398,True,False
MiriamLeiros,5589,5208,True,False
ddu_10,1922,1058,True,False
MiriamLeiros,5589,5208,True,False
ClimaxNTN24,6127,5297,True,False
soledadbaidez,1643,2143,True,False
AGROECOLOGIARUR,26,94,True,False
fbuyolo,7269,6357,True,False
fbuyolo,7269,6357,True,False
guzmanhennessey,2772,1086,False,True
alelanta,4251,4187,True,False
diasporadas,44,81,True,False
rechepozo,814,2968,True,False
danysanchezpy,2914,2182,True,False
PNUDChile,18100,1661,False,True
ana_19416,178,458,True,False
mmedinah,419,363,True,False
nathaliedetry,963,535,True,False
CongresoCI,3208,106,True,False
gemarodriguezal,88,364,True,False
CongresoCI,3208,106,True,False
CongresoCI,3208,106,True,False
danielbarril,607,1610,True,False
muvoil,145,453,True,False
Cebede1970,10,92,True,False
davidgvtierrez,2925,845,False,True
davidgvtierrez,2925,845,False,True
Cnevdel,26,187,True,False
pedro_hlpz,167,343,True,False
Sociolidarios,832,843,True,False
marcosgonzalezm,13974,1751,True,False
pereiraUA,715,1980,True,False
albertohrojas,5916,5606,True,False
ZERCAYLEJOS,887,579,True,False
agirrecenter,2236,1049,False,True
juanjomanzano,2659,201,False,True
SaritaR05,296,628,False,True
ConsultoraGemma,1339,1194,False,True
33BLF,37,256,True,False
UNESCOsanjose,633,397,False,True
davidgvtierrez,2925,845,True,False
FalconMon,151,190,False,True
ejaramillon,802,219,True,False
joseenpeco,506,478,True,False
eesostenibles,177,241,True,False
eesostenibles,177,241,True,False
reverdeconcausa,1633,644,True,False
reverdeconcausa,1633,644,True,False
reverdeconcausa,1633,644,True,False
UNESCOsanjose,633,397,True,False
UNESCOsanjose,633,397,True,False
reverdeconcausa,1633,644,True,False
redgmxuruguay,40,105,True,False
JCaiceRe,162,1295,True,False
Barbieroja,22418,3168,True,False
jbgoikoetxea,1310,1763,True,False
jbgoikoetxea,1310,1763,True,False
ODSColombia,369,301,False,True
FEACEM_CYL,133,102,True,False
alvercafabricio,33,152,True,False
marcosgonzalezm,13973,1751,True,False
los_ods,555,1195,True,False
AZLOGICA,411,1262,False,True
FENSostenible,493,244,False,True
MaurilioEsq,149,247,True,False
LourdesVendoiro,225,632,True,False
jp_economics,181,97,False,True
vitoria_jess,44,51,True,False
luiscayoperez,6060,5177,True,False
andreattaa,241,271,True,False
IJExtremadura,10098,2012,False,True
COHEPHonduras,13320,556,False,True
glocalminds,1599,2020,False,True
Ro_Quin,442,711,True,False
Pascualitasss,273,562,True,False
701Joel,700,271,True,False
LAURADEVEGAF,734,980,True,False
Mabel_GaRe,70,226,True,False
WALTERNOLDIN1,193,276,True,False
blank5413,361,1181,True,False
agustinvitorica,164,113,False,True
carescurra,359,1998,True,False
ckundaa,303,847,False,True
PauletteCorsio,2189,226,True,False
BukeleNoticias,1373,20,True,False
santiagocambero,1082,973,False,True
parlasur_fpvpj,249,499,True,False
vaaGloria,74,88,True,False
Jennife15705176,12,69,False,True
jlgranda,1129,1519,True,False
CEE_Paraguay,667,19,False,True
mariaa_guti,259,239,True,False
CruzRojaAlava,3449,525,False,True
CulturaLaces,80,125,True,False
eguimauricio,965,1106,True,False
mooregarcia14,14,225,True,False
SmartCity_Net,7585,886,True,False
marcelobondoni,714,2031,False,True
SAGULPA_,1773,408,True,False
vanessa3131311,8,96,True,False
dmin_Mancilla,237,626,True,False
gloria34343434,5,140,True,False
AliciaAliaga57,133,303,True,False
daniiela55a,9,167,True,False
DircomCAN,509,271,True,False
karla33442,8,166,True,False
maryann_delgado,229,420,True,False
AliciaAliaga57,133,303,True,False
mariines33,36,62,True,False
tannesta,15,137,True,False
tifanyyii520,10,120,True,False
Corresponsables,29078,177,False,True
AliciaAliaga57,133,303,True,False
